name,symbol,contract_address,decimal
Aura,AURA,0x23c5D1164662758b3799103Effe19cC064d897D6,6
Venus DAI,vDAI,0x334b3ecb4dca3593bccc3c7ebd1a1c1d1780fbf1,8
FreewayToken,FWT,0x90a1E4BBADE88366dC44436535f1571d95e666c7,18
MagicCraft,MCRT,0x4b8285ab433d8f69cb48d5ad62b415ed1a221e4f,9
BattleInfinity,IBAT,0x19cd9B8e42d4EF62c3EA124110D5Cfd283CEaC43,9
ApeSwapFinance Banana,BANANA,0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,18
Wrapped BYTZ,WBYTZ,0x586fc153cf7e9c029d8c30842c4cb6a86f03b816,8
Decubate Token,DCB,0xeac9873291ddaca754ea5642114151f3035c67a2,18
BlockBank,BBANK,0xf4b5470523ccd314c6b9da041076e7d79e0df267,18
Aurox Token,URUS,0xc6DdDB5bc6E61e0841C54f3e723Ae1f3A807260b,18
Ferrum Network Token,FRM,0xA719b8aB7EA7AF0DDb4358719a34631bb79d15Dc,18
BSC Wrapped Jupiter,bwJUP,0x0231f91e02DebD20345Ae8AB7D71A41f8E140cE7,18
Blockasset,BLOCK,0xbc7a566b85ef73f935e640a06b5a8b031cd975df,6
SOPH AI Token,SOPH,0x73fbd93bfda83b111ddc092aa3a4ca77fd30d380,18
Defactor,FACTR,0xdefac16715671b7b6aeefe012125f1e19ee4b7d7,18
Carbon,CSIX,0x04756126f044634c9a0f0e985e60c88a51acc206,18
fry.world,FRIES,0x393b312c01048b3ed2720bf1b090084c09e408a1,18
MultiVAC,MTV,0x8aa688ab789d1848d131c65d98ceaa8875d97ef1,18
Venus LINK,vLINK,0x650b940a1033b8a1b1873f78730fcfc73ec11f1f,8
hoge.finance,HOGE,0xa4fffc757e8c4f24e7b209c033c123d20983ad40,9
DAFI Token,DAFI,0x22439be3aebc1590b05e3243780ed4156b629604,18
Exeedme,XED,0x5621b5a3f4a8008c4ccdd1b942b121c8b1944f1f,18
Jarvis Reward Token (Wormhole),JRT,0x414f9e74ba3a9d0acce65182809492f41ac671e0,18
Renewable Energy Token,RET,0x10b9dd394467f2cfbc769e07e88dc7e2c41b0965,9
Cerby Token,CERBY,0xdef1fac7bf08f173d286bbbdcbeeade695129840,18
StableX Token,STAX,0x0da6ed8b13214ff28e9ca979dd37439e8a88f6c4,18
UnoRe,UNO,0x474021845C4643113458ea4414bdb7fB74A01A77,18
Onino,ONI,0xea89199344a492853502a7a699cc4230854451b8,18
Ethos Reserve Note,ERN,0xce1e3cc1950d2aaeb47de04de2dec2dc86380e0a,18
JumpToken,JMPT,0x88d7e9b65dc24cf54f5edef929225fc3e1580c25,18
PAID Network,PAID,0xad86d0e9764ba90ddd68747d64bffbd79879a238,18
IGU Token,IGU,0x201bc9f242f74c47bbd898a5dc99cdcd81a21943,18
Venus SXP,vSXP,0x2ff3d0f6990a40261c66e1ff2017acbc282eb6d0,8
ZMINE Token,ZMN,0xfcb8a4b1a0b645e08064e05b98e9cc6f48d2aa57,18
OMAX TOKEN,OMAX,0xeB84be66c8E71f07eA57Cf3b21626d7784F32A7F,18
THENA,THE,0xf4c8e32eadec4bfe97e0f595add0f4450a863a11,18
LABEL,LBL,0x77edfae59a7948d66e9911a30cc787d2172343d4,18
Gains,GAINS,0xD9eA58350Bf120E2169A35FA1aFC31975b07de01,18
Acet Token,ACT,0x9f3bcbe48e8b754f331dfc694a894e8e686ac31d,18
NanoByte Token,NBT,0x1D3437E570e93581Bd94b2fd8Fbf202d4a65654A,18
Cashaa,CAS,0x780207b8c0fdc32cf60e957415bfa1f2d4d9718c,18
Chain Games,bCHAIN,0x35de111558f691f77f791fb0c08b2d6b931a9d47,18
Bridge,BRG,0x6e4a971b81ca58045a2aa982eaa3d50c4ac38f42,18
Bsc-Peg INSUR Token,INSUR,0x3192ccddf1cdce4ff055ebc80f3f0231b86a7e30,18
SavePlanetEarth,SPE,0x4ac81e3631DcDa62109e3117c4CAE7bf70BbbbD2,9
StarShip,STARSHIP,0x52419258e3fa44deac7e670eadd4c892b480a805,9
Wombat Token,WOM,0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,18
FinNexus,FNX,0xdfd9e2a17596cad6295ecffda42d9b6f63f7b5d5,18
ZILLION AAKAR XO,ZAX,0x9A2478C4036548864d96a97Fbf93f6a3341fedac,9
MEAN,MEAN,0x6c9297be2e3ce9c10c480a25b7157a43fd992942,6
MARS4 [via ChainPort.io],MARS4,0x9cd9c5a44cb8fab39b2ee3556f5c439e65e4fddd,18
ROOBEE,bROOBEE,0xe64f5cb844946c1f102bd25bbd87a5ab4ae89fbe,18
