network,symbol,contract_address,method_ID,method
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xd73dd623,"increaseApproval(address,uint256)"
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xdd62ed3e,"allowance(address,address)"
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xe30c3978,pendingOwner()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xf2fde38b,transferOwnership(address)
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x06fdde03,name()
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x095ea7b3,"approve(address,uint256)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x18160ddd,totalSupply()
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x2692c59f,adminPause(uint256)
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x2a8853cd,Unknown
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x313ce567,decimals()
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x32a8f30f,Unknown
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x39509351,"increaseAllowance(address,uint256)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x3a239bee,Unknown
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x530208f2,"adminSendEth(address,uint256)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x5c975abb,paused()
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x6bf43296,Unknown
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x70a08231,balanceOf(address)
